ticker,nome_da_empresa,data_da_analise,patrimonio_liquido,quant_on_pn,ebit12_meses,preco_de_fechamento,ativo_total,fator_cotacao,retorno12_meses,retorno6_meses,retorno3_meses,retorno1_mes,lc,volatilidade_anualizada12_meses,volatilidade_anualizada6_meses,volatilidade_anualizada3_meses,volatilidade_anualizada1_mes,ev,valor_de_mercado
ABEV3,AMBEV S/A,29/12/2022,86436867000,15753833000,18412913000,"14,52",135466722000,1,"-0,875125319484","14,0675796695","-1,64056836687","-3,98834374499","0,992880351485","24,5517898807","23,92867377","24,5639464367","18,3368165702",212613760840,228693150840
ALPA4,ALPARGATAS,29/12/2022,5512355000,683062222,23403000,"15,08",8127527000,1,"-59,0849419223","-21,2121212121","-29,1020216264","-9,97014925374","2,49622297136","55,3987224753","61,1968839573","63,9880894188","59,8223967586","9361016316,74","9220934316,74"
AMER3,AMERICANAS,29/12/2022,14705555000,909774507,1165519000,"9,65",47084128000,1,"-68,8323426225","-28,145941921","-43,168433451","-8,61742424235","2,24090314919","78,1382458529","90,7046851116","85,2836176585","72,447711558","20975308992,6","8779323992,55"
ARZZ3,AREZZO CO,29/12/2022,2741961000,110186077,493801000,"78,25",5131922000,1,"4,44070390573","14,6957238286","-19,6763218269","-11,748876086","1,69291859696","38,1657828132","39,7919133646","45,6844847773","44,4487275781","8487424525,25","8622060525,25"
ASAI3,ASSAI,29/12/2022,3980000000,1350256000,2896000000,"19,47",39089000000,1,"51,7402976037","36,7008213743","11,1521778351","-2,70719595898","0,807805260067","35,4203120246","35,1975086219","43,5407611205","34,9837766302",34177043510,26252043510
AZUL4,AZUL,29/12/2022,-19726752000,1264588466,1747430000,"11,01",17402236000,1,"-54,802955665","-11,0662358641","-25,2038043478","-10,3420195438","0,248652140421","68,7042864587","70,6426571761","71,8082075376","63,4786100641","26601722237,6","3831525237,59"
B3SA3,B3,29/12/2022,20559657000,6099000000,5501567000,"13,21",45806400000,1,"22,9974824325","21,5157437207","1,42530257624","3,97487813228","2,1001525856","44,057775296","50,0092388731","56,5630027191","52,1799491057",76119739000,80567790000
BBAS3,BRASIL,29/12/2022,168133312000,2865417020,36731922000,"34,73","2,089927595E+12",1,"34,9241001553","10,3981294829","-6,77644243969","-0,54193218931",[],"32,2929233599","37,0638282103","43,8873421559","33,0424921499","50494976104,6","99515933104,6"
BBDC3,BRADESCO,29/12/2022,163046282000,10658488000,18568353000,"13,47","1,828731521E+12",1,"-6,22235628048","-5,68964510361","-17,1386906064","-1,98156701311",[],"30,1289419872","34,5501421579","44,3825719622","30,4580938939",6235223280,152507591280
BBDC4,BRADESCO,29/12/2022,163046282000,10658488000,18568353000,"15,15","1,828731521E+12",1,"-11,2941604298","-11,3656041454","-23,4036718507","-2,63998841706",[],"32,0856977276","36,5522883076","47,0424106043","31,886704846",6235223280,152507591280
BBSE3,BBSEGURIDADE,29/12/2022,10047334000,2000000000,3844609000,"33,71",14397844000,1,"74,8777903249","34,463487277","26,8724124954","7,63090676933","1,8810765724","25,1002934286","26,3733837241","27,1348254393","20,8526358121",62755150000,67420000000
BEEF3,MINERVA,29/12/2022,1056831000,607283407,2273087000,"12,96",20221388000,1,"27,3982810403","-0,834781307191","3,34928229664","3,68000000033","1,73350171033","40,6693673105","43,8039864808","48,8270633647","32,4373504819","14348392954,7","7870392954,72"
BPAC11,BTGP BANCO,29/12/2022,44207586000,11506119928,5923406000,"23,94",367168994000,1,"17,4965284608","9,72981888652","-2,58622275219","-3,97950681262","1,03484005123","41,8759678505","41,8997323811","47,4290639311","54,3312259947",115872060555,117461563555
BPAN4,BANCO PAN,29/12/2022,7213752000,1273192392,659390000,"6,07",56547200000,1,"-40,5972506312","3,50090180308","-9,39964039871","-11,9233272957",[],"53,1015159003","52,3834517994","53,1645510973","52,6510931825","7844452610,62","7847314610,62"
BRAP4,BRADESPAR,29/12/2022,7434838000,393097000,-52026000,"29,72",8017832000,1,"34,2864908988","25,7994608398","33,6354541919","5,63030381851","1,34550393364","34,4256569367","34,3929043704","34,1228675137","26,0005475317",10267443340,11110184340
BRFS3,BRF SA,29/12/2022,10857054000,1078116849,210368000,"8,28",57742806000,1,"-63,2326820604","-39,0728476821","-35,7142857143","-12,1019108281","1,18872121728","54,3332479795","55,8532356885","60,4732590404","66,3159434093","24253989476,9","8962878476,88"
BRML3,BR MALLS PAR,29/12/2022,11392188000,828274000,842056000,"8,3",18005279000,1,"0,447104163065","10,3723404256","-11,9830328738","-5,14285714279","1,42970473362","34,8878503132","33,2101806588","38,8151062752","34,695508565",9067705200,6874674200
CASH3,MELIUZ,29/12/2022,790190000,865180443,-155632000,"1,18",1247034000,1,"-63,5802469137","9,25925925934","4,42477876103","5,35714285722","2,20261263014","70,5264789819","70,5293681327","67,9572743138","62,0265141677","270847619,72","1020610619,72"
CCRO3,CCR SA,29/12/2022,12454743000,2020000000,5238979000,"10,82",50784482000,1,"-3,88762472256","-11,6633111617","-11,6633111617","-8,38272650289","0,851170364993","33,5445088876","34,5175977023","38,7467364979","40,0996215985",42235019000,21856400000
CIEL3,CIELO,29/12/2022,14074509000,2716815061,2998070000,"5,24",100074287000,1,"142,093499281","46,0469408661","-0,195420711657","11,3005107375","1,18059095595","49,0142585092","44,5984002239","47,985435413","44,0204526205","9882939919,64","14236110919,6"
CMIG4,CEMIG,29/12/2022,22797430000,2201371000,5102422000,"11,14",54085360000,1,"24,939198089","13,5525540064","7,55983695936","0,813923840458","1,1920055011","33,5794987717","37,4351184114","45,5810437828","34,1798131459",34809140420,28209871420
CMIN3,CSN MINERACA,29/12/2022,12089845000,5485338838,3711673000,"4,08",28099792000,1,"-25,1649523665","19,1253285995","38,9195674905","5,83818596959","2,94684646647","46,3914127076","46,3898837912","49,8142150593","42,8605917227",20843796459,22380182459
COGN3,COGNA ON,29/12/2022,13289154000,1876606210,405666000,"2,12",25825690000,1,"-13,8211382116","-0,934579439725","-27,8911564626","-5,35714285762","1,48741548987","54,998943831","52,8315932854","50,3946922511","46,8051336139","9969330165,2","3978405165,2"
CPFE3,CPFL ENERGIA,29/12/2022,19185907000,1152254440,10594153000,"33,2",72470214000,1,"35,9339466091","7,51295336755","-1,65876777268","-4,87106017198","1,12637594226","29,2514106642","31,1664465673","35,2038610587","34,1445250824",57464864408,38254847408
CRFB3,CARREFOUR BR,29/12/2022,21665000000,2104765615,4955000000,"14,78",87919000000,1,"-1,15814622677","-10,3481218286","-23,16847321","-7,00354334099","0,904469141641","36,3020798005","38,6684184415","45,6673861977","34,9907967842","49242877090,6","31091877090,6"
CSAN3,COSAN,29/12/2022,47493020000,1874070932,8402310000,"17,12",131954488000,1,"-19,2647271908","-5,93406593407","-1,49597238183","-5,04714364945","1,41113102682","36,5416144221","39,3243498654","44,3591201393","34,9199955634","71877236355,8","32084094355,8"
CSNA3,SID NACIONAL,29/12/2022,21692851000,1326093947,4426482000,"14,55",86595892000,1,"-31,7327076191","6,06968452517","28,7512522853","3,91543035361","1,59816115365","54,5861711517","56,7229910143","60,6157058703","37,1951618126","40676989928,9","19294666928,9"
CVCB3,CVC BRASIL,29/12/2022,190218000,277247309,-57044000,"4,49",3732732000,1,"-66,5424739194","-35,6733524352","-28,8431061805","-10,7355864805","0,580138772953","75,421448525","73,2412994856","76,9237787505","80,6688937791","1532731417,41","1244840417,41"
CYRE3,CYRELA REALT,29/12/2022,7870905000,399743000,699112000,"13,07",16321140000,1,"-13,9172604496","10,5752961084","-28,7738419617","-8,98328690834","2,64768508674","49,6160524762","55,8154744621","59,8063471108","52,0618171486",6962966010,5224641010
DXCO3,DEXCO,29/12/2022,6035184000,837059000,1348349000,"6,78",15625433000,1,"-47,8275319945","-20,9219735193","-16,5240511913","-6,52693157316","1,57994512403","44,9302277505","49,9770952757","52,4731700923","48,8003694693",9353058054,5675262054
ECOR3,ECORODOVIAS,29/12/2022,2631712000,696334000,1826187000,"4,45",19277195000,1,"-39,0921204009","-21,7814598833","-10,2926199869","2,25818318024","0,757689736837","47,8359045353","53,7028954283","57,1001045967","55,5538551043",12613010300,3098686300
EGIE3,ENGIE BRASIL,29/12/2022,9248206000,815927740,5193568000,"37,88",39605625000,1,"6,09383763762","-4,77100666417","0,449178601115","-3,48078944415","1,19388615777","19,3465019131","20,7743504711","24,9826127534","18,4176879956","45809892791,2","30907342791,2"
ELET3,ELETROBRAS,29/12/2022,111017341000,2307099000,6274467000,"42,12",267830877000,1,"28,431953972","-8,83116883106","-1,97812427271","-11,3263157895","2,05239960584","34,192950435","32,23546121","39,4118960287","28,0012067095",133110381920,97238578920
EMBR3,EMBRAER,29/12/2022,14082568000,740465000,-654119000,"14,31",53129321000,1,"-42,3448831588","25,0874125875","22,8326180258","5,60885608861","1,74938665131","46,3609309136","43,4868127381","43,1086717703","26,1421826349",18407925150,10596054150
ENBR3,ENERGIAS BR,29/12/2022,12366216000,581165000,3220950000,"20,79",37252581000,1,"9,59665155438","1,36518771349","-4,76408611959","-2,02639019761","0,90860549817","22,7450344188","24,7790269211","27,1849435518","23,2960834422",22706942350,12082420350
ENEV3,ENEVA,29/12/2022,13933206000,1584572000,1685254000,"11,93",41947742000,1,"-15,6890459365","-19,2281651998","-15,6890459365","-3,32252836314","0,993390592152","35,6150715043","30,6873783393","33,4816405696","32,8688610545",24566029380,18899100380
ENGI11,ENERGISA,29/12/2022,14217278000,2039086540,5754986000,"44,21",61964005000,1,"7,55150048098","12,4026462272","5,53831463349","2,07804202282","1,17624238156","25,4636461353","27,9325376927","29,4835376179","24,6072258489","42316649225,4","20477127225,4"
EQTL3,EQUATORIAL,29/12/2022,20867323000,1129315455,5881363000,"27,02",92834649000,1,"22,5639628487","18,3012259198","0,446096654338","-1,92377495437","1,56123002616","26,2293921575","28,9363433349","30,9192405","19,733184922","53833562486,7","30503812486,7"
EZTC3,EZTEC,29/12/2022,4567735000,220989103,108518000,"13,43",5601273000,1,"-31,4095945782","-5,93362191979","-36,2947757521","-10,7641196014","5,48049936754","47,5096855753","51,3892242902","52,1427123123","50,2271819329","2555931653,29","2967883653,29"
FLRY3,FLEURY,29/12/2022,2807985000,367197096,729767000,"15,45",7863880000,1,"-8,65592434203","-3,41457074049","-10,9534786806","-11,2045969019","2,00432965971","39,6716308179","41,4613904064","35,4556965709","35,8132028503","8847351367,05","6005505367,05"
